Date,text,sentiment
2015-12-27,"Here's a summary of gold-related news based on the provided links:

Short interest has decreased in Golden Star Resources Ltd. and Novagold Resources Inc. An analyst has lifted the FY2015 EPS estimates for Barrick Gold Corp. and Scotiabank has issued FY2017 earnings estimate for Yamana Gold Inc. Meanwhile, authorities have held people for smuggling gold and diamonds, and robots are being developed for seabed mining.",negative
2015-12-28,"Several reports discuss gold smuggling attempts, with authorities in India and Bangladesh seizing significant quantities of smuggled gold.
Additionally, a major gold deposit was found, and gold fever is building.
Some analysts predict that silver will outperform gold in 2016, while investors in India are showing a negative sentiment towards gold ETFs.",positive
2015-12-29,"Several reports discuss gold smuggling attempts, with authorities in India and Bangladesh seizing significant quantities of smuggled gold.
Additionally, a major gold deposit was found, and gold fever is building.
Some analysts predict that silver will outperform gold in 2016, while investors in India are showing a negative sentiment towards gold ETFs.",positive
2015-12-30,"Here's a summary of gold market news from the provided links:

1.  Gold Fields Limited (GFI) was trading 2.2% higher.
2.  India and Iran are considering ditching the dollar in favor of gold for oil transactions.
3.  Mumbai Customs arrested a French couple for gold smuggling, and two French nationals were caught smuggling gold worth over Rs 60 lakh.",positive
2015-12-31,"Here's a summary of gold market news from the provided links:

1.  Gold Fields Limited (GFI) was trading 2.2% higher.
2.  India and Iran are considering ditching the dollar in favor of gold for oil transactions.
3.  Mumbai Customs arrested a French couple for gold smuggling, and two French nationals were caught smuggling gold worth over Rs 60 lakh.",positive
2016-01-01, Barrons predicts gold is likely to remain tarnished in 2016. Mali produced 50 tons of gold in 2015 and expects to produce more in 2016. A client breaks silence on the trail of Dubai's stolen gold and a fascinating detail emerges.,neutral
2016-01-02, Barrons predicts gold is likely to remain tarnished in 2016. Mali produced 50 tons of gold in 2015 and expects to produce more in 2016. A client breaks silence on the trail of Dubai's stolen gold and a fascinating detail emerges.,neutral
2016-01-03,"Gold prices climbed above $1,080/oz amid Middle East tensions, driven by safe-haven demand. Mali produced 50 tons of gold in 2015 and expects more in 2016, while Guyana is seeking US help with gold smuggling court cases. A new digital currency backed by physical gold has been introduced.",positive
2016-01-04,"Gold prices climbed above $1,080/oz amid Middle East tensions, driven by safe-haven demand. Mali produced 50 tons of gold in 2015 and expects more in 2016, while Guyana is seeking US help with gold smuggling court cases. A new digital currency backed by physical gold has been introduced.",positive
2016-01-05,Gold is gaining in Asia due to continued risk aversion amidst Middle East tensions. A worker for Centerra Gold was arrested in Kyrgyzstan for a controversial remark. Government is considering setting up gold board.,positive
