date,text
20160627,"Doug Casey warns of a coming crisis this year, predicting a ""hurricane"" where gold prices will rise higher than most anticipate. Brexit has caused investors to seek safety in gold amid volatile markets, leading to strong inflows into gold. Some experts predict that gold prices will reach Rs 33,500 levels by the end of 2016.
"
20160628,"Doug Casey warns of a coming crisis this year, predicting a ""hurricane"" where gold prices will rise higher than most anticipate. Brexit has caused investors to seek safety in gold amid volatile markets, leading to strong inflows into gold. Some experts predict that gold prices will reach Rs 33,500 levels by the end of 2016.
"
20160629,"Gold prices are expected to rally due to Brexit turmoil, as investors await more stimulus. Guyana is enjoying higher gold prices, which is generating renewed confidence by small and medium scale miners. AngloGold is set to invest $400 million in Guinea to increase gold production.
"
20160630,"Gold prices are expected to rally due to Brexit turmoil, as investors await more stimulus. Guyana is enjoying higher gold prices, which is generating renewed confidence by small and medium scale miners. AngloGold is set to invest $400 million in Guinea to increase gold production.
"
20160701,Gold prices steadied as equity markets calmed. Uracan Announces Closing of First Tranche of Private Placement in the Total Amount of 1.406 Million. Stellar Resources Finds High Prospects of Gold in Snowdonia.
20160702,Gold prices steadied as equity markets calmed. Uracan Announces Closing of First Tranche of Private Placement in the Total Amount of 1.406 Million. Stellar Resources Finds High Prospects of Gold in Snowdonia.
20160703,Resource sector digest suggests that gold and silver can hold their ground going into the summer. Gold is on a five-week win streak and is up 26% in 2016. Investor's global angst is causing them to flee to gold.
20160704,Resource sector digest suggests that gold and silver can hold their ground going into the summer. Gold is on a five-week win streak and is up 26% in 2016. Investor's global angst is causing them to flee to gold.
20160705,"Gold prices rallied to a 2-year high amid Brexit uncertainties and safe-haven demand, with silver also hitting a 2-year high. Illegal gold trade in Congo benefits foreign companies, while a Chinese fund eyes a Glencore gold mine in Kazakhstan. Some companies have secured gold exploration licenses and are launching new exploration companies."
20160706,"Gold prices rallied to a 2-year high amid Brexit uncertainties and safe-haven demand, with silver also hitting a 2-year high. Illegal gold trade in Congo benefits foreign companies, while a Chinese fund eyes a Glencore gold mine in Kazakhstan. Some companies have secured gold exploration licenses and are launching new exploration companies."
20160707,"Gold prices have surged to a two-year high, driven by Brexit-related economic uncertainty. Some analysts predict that gold prices may reach $1,425 or even $1,500 to $1,900.  Central banks are expected to increase their gold buying, and several companies are involved in gold mining projects and acquisitions.
"
20160708,"Gold prices have surged to a two-year high, driven by Brexit-related economic uncertainty. Some analysts predict that gold prices may reach $1,425 or even $1,500 to $1,900.  Central banks are expected to increase their gold buying, and several companies are involved in gold mining projects and acquisitions.
"
20160709,Inca One Gold Corp experienced a significant increase in net revenue margins. A trader believes that gold has unlimited upside because the Fed is confused on policy. Mali says it exported a record 70.2 tonnes of gold in 2015.
20160710,Inca One Gold Corp experienced a significant increase in net revenue margins. A trader believes that gold has unlimited upside because the Fed is confused on policy. Mali says it exported a record 70.2 tonnes of gold in 2015.
20160711,"Here's a summary of the gold market and related topics based on the provided URLs:

Gold prices are experiencing volatility, slipping near $1350 as stocks rally, and imports in India have fallen significantly. Investment research firms are issuing varied ratings for gold-related companies like Gold Standard Ventures and Yamana Gold. Several companies are actively pursuing gold mining projects and exploration, including Cordoba Minerals, Medgold Resources, and African Queen Mines.
"
20160712,"Here's a summary of the gold market and related topics based on the provided URLs:

Gold prices are experiencing volatility, slipping near $1350 as stocks rally, and imports in India have fallen significantly. Investment research firms are issuing varied ratings for gold-related companies like Gold Standard Ventures and Yamana Gold. Several companies are actively pursuing gold mining projects and exploration, including Cordoba Minerals, Medgold Resources, and African Queen Mines.
"
20160713,"Frontier Resources reported drill core assay results up to 5m of 13.92g/t gold. Astur Gold announced significant strategic changes to the company, including restructure of debt, interim financing, and changes in board and management. Fidelity Bank in Ghana is giving gold bars to customers as rewards.
"
20160714,"Frontier Resources reported drill core assay results up to 5m of 13.92g/t gold. Astur Gold announced significant strategic changes to the company, including restructure of debt, interim financing, and changes in board and management. Fidelity Bank in Ghana is giving gold bars to customers as rewards.
"
20160715,"Several factors influenced the gold market, including news about the Gold King spill reimbursement legislation, which had a hearing. Additionally, there were reports on gold mining companies and their financial performance, including a bet on gold mining companies fueling a jackpot for some investors. There was also news regarding arrests for gold smuggling."
20160716,"Several factors influenced the gold market, including news about the Gold King spill reimbursement legislation, which had a hearing. Additionally, there were reports on gold mining companies and their financial performance, including a bet on gold mining companies fueling a jackpot for some investors. There was also news regarding arrests for gold smuggling."
20160717,"- A Tajik woman was arrested for smuggling gold worth Rs 85 lakh at IGIA.
- Goldman Sachs and Bain Capital invested in South Korean cosmetics firm Carver Korea.
- Geopolitical risks and the Turkish coup attempt will affect gold and gold prices are attempting to carve higher.
"
20160718,"- A Tajik woman was arrested for smuggling gold worth Rs 85 lakh at IGIA.
- Goldman Sachs and Bain Capital invested in South Korean cosmetics firm Carver Korea.
- Geopolitical risks and the Turkish coup attempt will affect gold and gold prices are attempting to carve higher.
"
20160719,Fresnillo raises full-year gold output forecast. New Gold ships first concentrate in the historic day for the mine. Double Crown Resources Commences Delivery of Gold for Multi-Million Dollar Supply Project Announced Earlier in 2016.
20160720,Fresnillo raises full-year gold output forecast. New Gold ships first concentrate in the historic day for the mine. Double Crown Resources Commences Delivery of Gold for Multi-Million Dollar Supply Project Announced Earlier in 2016.
20160721,Newmont Mining Corp's second-quarter adjusted earnings jumped due to rising gold output and prices. Cardinal Resources reported high-grade gold from the surface at its Namdini Project. The UN reported that invoice fraud is rife in South Africa's gold exports.
20160722,Newmont Mining Corp's second-quarter adjusted earnings jumped due to rising gold output and prices. Cardinal Resources reported high-grade gold from the surface at its Namdini Project. The UN reported that invoice fraud is rife in South Africa's gold exports.
20160723,"Scotia Capital has reaffirmed its ""outperform"" rating for Alacer Gold Corp. with a target price of $3.32.
Industry in India is demanding a cut in gold import duty to 5% to bring back demand. Randgold is planning a $70 million study on a fresh Senegal gold find."
20160724,"Scotia Capital has reaffirmed its ""outperform"" rating for Alacer Gold Corp. with a target price of $3.32.
Industry in India is demanding a cut in gold import duty to 5% to bring back demand. Randgold is planning a $70 million study on a fresh Senegal gold find."
20160725,Acacia Mining's profits are up as gold prices rise. Randgold Resources sets aside $70 million for Massawa feasibility studies. Randgold identifies exciting new prospects in Côte d'Ivoire.
20160726,Acacia Mining's profits are up as gold prices rise. Randgold Resources sets aside $70 million for Massawa feasibility studies. Randgold identifies exciting new prospects in Côte d'Ivoire.
