date,summary
2014-01-01,"Gold news focused on: elkodaily, techsonian, dhakatribune, tuscaloosanews. Other key mentions included: timesofindia indiatimes, utsandiego, dnaindia, seekingalpha."
2014-01-02,"Gold news focused on: traders, gtowntimes, marketwatch, news goldseek. Other key mentions included: philstar, menafn, au news yahoo, news."
2014-01-03,"Gold news focused on: news, mobile gazettenet, article, britains new slaves to millions migrants streets paved gold but awaits savage exploitation gangmasters lands html ito      ns mchannel rss ns campaign. Other key mentions included: articles chicagotribune, en, bloomberg, alaskadispatch."
2014-01-04,"Gold news focused on: news, m nationalreview, news goldseek, mineweb. Other key mentions included: cp africa, edition, news online, item."
2014-01-05,"Gold news focused on: nationmultimedia, timesofindia indiatimes, jsonline, news. Other key mentions included: marketwatch, indianexpress, theatlantic, azfamily."
2014-01-06,"Gold news focused on: news, fms, business, gold jv reopens after talks with suppliers  authorities html. Other key mentions included: head of comancheros to face gold coast court over threat to pol, lacrossetribune, thanhniennews, bloomberg."
2014-01-07,"Gold news focused on: newsday, huffingtonpost, news, einnews. Other key mentions included: resourceinvestor, goldcoastbulletin, reuters, businessweek."
2014-01-08,"Gold news focused on: article, kenyaat, black gold trade that turned kenyans into millionaires, features. Other key mentions included: object immaterial if core gold, dailystar, financeasia, news."
2014-01-09,"Gold news focused on: lankaweb, goldcoastbulletin, news, timesofisrael. Other key mentions included: traders, atlanticfreepress, nachricht, article."
2014-01-10,"Gold news focused on: sriexpress, article, bnps nick griffin heads greece back neo nazi golden dawn, index php. Other key mentions included: archives, entry, goldson holder winfield, id."
2014-01-11,"Gold news focused on: article, theres spanish gold in them tharbeaches from playa flamenca to blackpool, haaretzdaily, goldrushcam. Other key mentions included: news, huffingtonpost, globalpost, news yahoo."
2014-01-12,"Gold news focused on: cbsnews, news, blogs forward, bloomberg. Other key mentions included: greece greekreporter, ibnlive in, two more golden dawn parliamentarians in pre trial detention, a."
2014-01-13,"Gold news focused on: columnist, golden year of turkish japanese relations html, news, goldcoastbulletin. Other key mentions included: theguardian, en, nation, three arrested nepal gold smuggling."
2014-01-14,"Gold news focused on: eurasiareview, news, goldrushcam, thehimalayantimes. Other key mentions included: article, secret india sought uk help in army action at golden temple, spain, national."
2014-01-15,"Gold news focused on: susris, news, news daily, thehimalayantimes. Other key mentions included: bloomberg, article, limaohio, blogs forward."
