date,text
20170510,"China's private investor gold demand is surging, which is seen as a strong signal for the market. Mumbai customs arrested 21 smugglers for smuggling gold at the airport. New precious metal laws combat gold GST fraud."
20170511,"China's private investor gold demand is surging, which is seen as a strong signal for the market. Mumbai customs arrested 21 smugglers for smuggling gold at the airport. New precious metal laws combat gold GST fraud."
20170512,"Transition Metals Corp closes private placement and the Canadian gold miner finishes private placement.
There are new precious metal laws to combat gold GST fraud.
Consumers are warned about fake gold online stores."
20170513,"Transition Metals Corp closes private placement and the Canadian gold miner finishes private placement.
There are new precious metal laws to combat gold GST fraud.
Consumers are warned about fake gold online stores."
20170514,"Customs officials in Bangladesh seized 300 kg of gold ornaments from four Apan Jewellers shops, and another 212 kg of gold from the Gulshan's Suvastu Tower outlet. Eldorado Gold is set to acquire Integra Gold Corporation in a deal expanding its presence in Canada. Gold picked up following North Korea's missile test."
20170515,"Customs officials in Bangladesh seized 300 kg of gold ornaments from four Apan Jewellers shops, and another 212 kg of gold from the Gulshan's Suvastu Tower outlet. Eldorado Gold is set to acquire Integra Gold Corporation in a deal expanding its presence in Canada. Gold picked up following North Korea's missile test."
20170516,"New laws are being introduced to combat GST fraud related to precious metals. Gran Colombia Gold announced their Q1 2017 results. The Sudanese government is planning to buy gold from traditional miners at global stock market prices.
"
20170517,"New laws are being introduced to combat GST fraud related to precious metals. Gran Colombia Gold announced their Q1 2017 results. The Sudanese government is planning to buy gold from traditional miners at global stock market prices.
"
20170518,"Here's a brief summary of the gold market based on the provided URLs:

Several companies are involved in gold mining and exploration projects, including Falco Resources, Trek Mining, Perseus Mining, Meridian Mining, Lithium Power International, Guyana Goldfields, Nexus Gold Corp, Almaden Minerals, Lodestar Minerals, Variscan Mines, Integra Gold Corporation, Eldorado Gold, Maya Gold & Silver,  White Gold Corp, Kinross Gold Corporation, Paramount Gold Nevada, Gold Fields Limited, Aurico Gold, Southern Silver, Mundoro Capital, Pacton Gold, Roxwell and Alacer Gold. Bangladesh Bank is being asked to auction seized gold regularly to ease imports. A flight attendant has been apprehended for smuggling gold."
20170519,"Here's a brief summary of the gold market based on the provided URLs:

Several companies are involved in gold mining and exploration projects, including Falco Resources, Trek Mining, Perseus Mining, Meridian Mining, Lithium Power International, Guyana Goldfields, Nexus Gold Corp, Almaden Minerals, Lodestar Minerals, Variscan Mines, Integra Gold Corporation, Eldorado Gold, Maya Gold & Silver,  White Gold Corp, Kinross Gold Corporation, Paramount Gold Nevada, Gold Fields Limited, Aurico Gold, Southern Silver, Mundoro Capital, Pacton Gold, Roxwell and Alacer Gold. Bangladesh Bank is being asked to auction seized gold regularly to ease imports. A flight attendant has been apprehended for smuggling gold."
20170520,Gold price sustains firm posture on speculations. New precious metal laws combat gold GST fraud. Authorities seized smuggled gold in India and are investigating a businessman for allegedly smuggling gold bars.
20170521,Gold price sustains firm posture on speculations. New precious metal laws combat gold GST fraud. Authorities seized smuggled gold in India and are investigating a businessman for allegedly smuggling gold bars.
